1. Profit Margins by Category,,,,,
ProductCategory,TotalRevenue,TotalProfit,ProfitMargin,,
Beauty,143515,57406,40,,
Clothing,155580,62232,40,,
Electronics,156905,62762,40,,
,,,,,
2. profitability by Gender and Age,,,,,
Gender,AgeGroup,ProductCategory,TotalProfit,TotalRevenue,ProfitMargin
Male,25-40,Beauty,7872,19680,40
Female,25-40,Clothing,11508,28770,40
Male,41-60,Electronics,14602,36505,40
Male,25-40,Clothing,11596,28990,40
Female,41-60,Beauty,12312,30780,40
Male,41-60,Clothing,11686,29215,40
Male,25-40,Electronics,8438,21095,40
Male,Over 60,Electronics,5138,12845,40
Female,41-60,Clothing,14126,35315,40
Male,Under 25,Clothing,5014,12535,40
Male,Under 25,Electronics,3890,9725,40
Male,Over 60,Clothing,1426,3565,40
Female,41-60,Electronics,13166,32915,40
Female,Over 60,Clothing,3026,7565,40
Female,Over 60,Beauty,666,1665,40
Female,25-40,Electronics,10304,25760,40
Female,25-40,Beauty,11980,29950,40
Male,41-60,Beauty,11660,29150,40
Female,Under 25,Beauty,4974,12435,40
Female,Under 25,Clothing,3850,9625,40
Female,Under 25,Electronics,5544,13860,40
Male,Under 25,Beauty,6588,16470,40
Male,Over 60,Beauty,1354,3385,40
Female,Over 60,Electronics,1680,4200,40
,,,,,
3. Revenue and Quantity by Month (Seasonal Trend),,,,,
Month,TotalUnitsSold,TotalRevenue,,,
2023-01,195,35450,,,
2023-02,214,44060,,,
2023-03,194,28990,,,
2023-04,214,33870,,,
2023-05,259,53150,,,
2023-06,197,36715,,,
2023-07,176,35465,,,
2023-08,227,36960,,,
2023-09,170,23620,,,
2023-10,252,46580,,,
2023-11,205,34920,,,
2023-12,207,44690,,,
2024-01,4,1530,,,
,,,,,
4. Average Revenue per Customer,,,,,
CustomerID,NumTransactions,TotalSpent,AvgSpendPerTransaction,,
CUST072,1,2000,2000,,
CUST074,1,2000,2000,,
CUST093,1,2000,2000,,
CUST139,1,2000,2000,,
CUST015,1,2000,2000,,
CUST065,1,2000,2000,,
CUST118,1,2000,2000,,
CUST089,1,2000,2000,,
CUST109,1,2000,2000,,
CUST124,1,2000,2000,,
,,,,,
5. Daily Revenue Trend (Granular),,,,,
Date,DailyRevenue,,,,
01-01-2023,3600,,,,
02-01-2023,1765,,,,
03-01-2023,600,,,,
04-01-2023,1240,,,,
05-01-2023,1100,,,,
06-01-2023,620,,,,
07-01-2023,150,,,,
08-01-2023,625,,,,
09-01-2023,200,,,,
10-01-2023,230,,,,
11-01-2023,280,,,,
13-01-2023,1930,,,,
14-01-2023,1550,,,,
15-01-2023,660,,,,
16-01-2023,4000,,,,
17-01-2023,1645,,,,
19-01-2023,30,,,,
20-01-2023,125,,,,
21-01-2023,2090,,,,
22-01-2023,325,,,,
23-01-2023,3120,,,,
24-01-2023,2250,,,,
25-01-2023,50,,,,
26-01-2023,2570,,,,
27-01-2023,235,,,,
28-01-2023,1020,,,,
29-01-2023,600,,,,
30-01-2023,740,,,,
31-01-2023,2100,,,,
01-02-2023,4700,,,,
02-02-2023,1375,,,,
03-02-2023,1230,,,,
04-02-2023,1120,,,,
05-02-2023,1805,,,,
06-02-2023,625,,,,
07-02-2023,2100,,,,
08-02-2023,425,,,,
09-02-2023,600,,,,
10-02-2023,1900,,,,
11-02-2023,2215,,,,
12-02-2023,500,,,,
13-02-2023,3600,,,,
14-02-2023,400,,,,
16-02-2023,900,,,,
17-02-2023,5890,,,,
18-02-2023,1000,,,,
19-02-2023,2025,,,,
20-02-2023,1130,,,,
21-02-2023,385,,,,
22-02-2023,300,,,,
23-02-2023,30,,,,
24-02-2023,3200,,,,
25-02-2023,2550,,,,
26-02-2023,50,,,,
27-02-2023,1825,,,,
28-02-2023,2180,,,,
01-03-2023,460,,,,
02-03-2023,300,,,,
03-03-2023,970,,,,
04-03-2023,1000,,,,
05-03-2023,420,,,,
06-03-2023,625,,,,
07-03-2023,3040,,,,
08-03-2023,25,,,,
09-03-2023,1200,,,,
10-03-2023,175,,,,
11-03-2023,500,,,,
12-03-2023,525,,,,
13-03-2023,300,,,,
15-03-2023,1000,,,,
17-03-2023,1075,,,,
18-03-2023,1620,,,,
19-03-2023,80,,,,
20-03-2023,2950,,,,
21-03-2023,3500,,,,
22-03-2023,1390,,,,
23-03-2023,1950,,,,
24-03-2023,250,,,,
25-03-2023,1625,,,,
26-03-2023,1420,,,,
27-03-2023,590,,,,
28-03-2023,100,,,,
29-03-2023,500,,,,
30-03-2023,200,,,,
31-03-2023,1200,,,,
01-04-2023,4400,,,,
02-04-2023,2600,,,,
04-04-2023,1620,,,,
05-04-2023,2100,,,,
06-04-2023,1200,,,,
08-04-2023,2450,,,,
09-04-2023,2235,,,,
10-04-2023,60,,,,
11-04-2023,50,,,,
12-04-2023,1590,,,,
13-04-2023,360,,,,
15-04-2023,700,,,,
16-04-2023,300,,,,
17-04-2023,25,,,,
18-04-2023,500,,,,
19-04-2023,2725,,,,
20-04-2023,3375,,,,
21-04-2023,170,,,,
22-04-2023,225,,,,
23-04-2023,2905,,,,
24-04-2023,170,,,,
25-04-2023,160,,,,
26-04-2023,270,,,,
27-04-2023,1430,,,,
28-04-2023,135,,,,
29-04-2023,1960,,,,
30-04-2023,155,,,,
01-05-2023,625,,,,
02-05-2023,165,,,,
03-05-2023,300,,,,
04-05-2023,1140,,,,
05-05-2023,1520,,,,
06-05-2023,990,,,,
07-05-2023,995,,,,
08-05-2023,4200,,,,
09-05-2023,660,,,,
10-05-2023,2200,,,,
11-05-2023,30,,,,
12-05-2023,100,,,,
13-05-2023,800,,,,
14-05-2023,1060,,,,
15-05-2023,1680,,,,
16-05-2023,7260,,,,
17-05-2023,3050,,,,
18-05-2023,550,,,,
19-05-2023,1350,,,,
20-05-2023,725,,,,
21-05-2023,2900,,,,
22-05-2023,1810,,,,
23-05-2023,8455,,,,
24-05-2023,50,,,,
25-05-2023,2600,,,,
26-05-2023,2020,,,,
27-05-2023,2200,,,,
28-05-2023,75,,,,
29-05-2023,1200,,,,
30-05-2023,140,,,,
31-05-2023,2300,,,,
01-06-2023,160,,,,
02-06-2023,150,,,,
03-06-2023,1025,,,,
04-06-2023,1030,,,,
05-06-2023,100,,,,
06-06-2023,1950,,,,
07-06-2023,150,,,,
08-06-2023,1700,,,,
09-06-2023,1820,,,,
10-06-2023,2750,,,,
11-06-2023,3300,,,,
12-06-2023,50,,,,
13-06-2023,500,,,,
14-06-2023,900,,,,
15-06-2023,220,,,,
16-06-2023,230,,,,
17-06-2023,1450,,,,
18-06-2023,900,,,,
19-06-2023,2945,,,,
20-06-2023,190,,,,
21-06-2023,175,,,,
22-06-2023,1220,,,,
23-06-2023,170,,,,
24-06-2023,6220,,,,
25-06-2023,900,,,,
26-06-2023,2130,,,,
27-06-2023,900,,,,
28-06-2023,300,,,,
29-06-2023,2150,,,,
30-06-2023,1030,,,,
01-07-2023,1750,,,,
03-07-2023,230,,,,
04-07-2023,500,,,,
05-07-2023,780,,,,
06-07-2023,2260,,,,
08-07-2023,220,,,,
09-07-2023,325,,,,
11-07-2023,200,,,,
12-07-2023,30,,,,
13-07-2023,100,,,,
14-07-2023,5125,,,,
15-07-2023,3000,,,,
16-07-2023,190,,,,
17-07-2023,950,,,,
19-07-2023,2060,,,,
21-07-2023,1000,,,,
22-07-2023,150,,,,
23-07-2023,2000,,,,
24-07-2023,4610,,,,
25-07-2023,2000,,,,
26-07-2023,1000,,,,
27-07-2023,1190,,,,
28-07-2023,3450,,,,
29-07-2023,575,,,,
30-07-2023,270,,,,
31-07-2023,1500,,,,
01-08-2023,720,,,,
02-08-2023,50,,,,
03-08-2023,375,,,,
04-08-2023,260,,,,
05-08-2023,5205,,,,
06-08-2023,2500,,,,
07-08-2023,1020,,,,
08-08-2023,1385,,,,
09-08-2023,1010,,,,
10-08-2023,200,,,,
11-08-2023,900,,,,
12-08-2023,1370,,,,
13-08-2023,700,,,,
14-08-2023,1230,,,,
15-08-2023,970,,,,
17-08-2023,900,,,,
18-08-2023,1630,,,,
19-08-2023,2160,,,,
20-08-2023,90,,,,
21-08-2023,1560,,,,
22-08-2023,1275,,,,
23-08-2023,1730,,,,
24-08-2023,1305,,,,
25-08-2023,395,,,,
26-08-2023,955,,,,
27-08-2023,1725,,,,
28-08-2023,350,,,,
29-08-2023,2630,,,,
31-08-2023,2360,,,,
01-09-2023,1375,,,,
02-09-2023,1370,,,,
03-09-2023,300,,,,
04-09-2023,1000,,,,
05-09-2023,530,,,,
06-09-2023,1765,,,,
07-09-2023,420,,,,
08-09-2023,1125,,,,
09-09-2023,200,,,,
10-09-2023,200,,,,
11-09-2023,2200,,,,
13-09-2023,50,,,,
14-09-2023,1200,,,,
15-09-2023,75,,,,
16-09-2023,2150,,,,
17-09-2023,700,,,,
